Family,Method,KL_val,KL_se,Nov_val,Nov_se,SID_val,SID_se
RRM,Consensus+noise,0.013088428842339057,0.0018765233808482986,0.6855330343045375,0.0045070254470096355,0.4869483568075117,0.004780313015654266
RRM,SA generation,0.05969708850608402,0.005119715853655185,0.5125939049286244,0.01133915306857892,0.5380281690140846,0.005591552761951225
SH3,Consensus+noise,0.0039587389307579185,0.0012092984095533027,0.6581866988731828,0.005265904559454886,0.5372222222222223,0.00530793962603649
SH3,SA generation,0.035922512186724535,0.004395982386671591,0.4707357312988197,0.011606115097597647,0.5926388888888888,0.006463262342709398
WW,Consensus+noise,0.02060391646340068,0.002824478911667229,0.7866539109809164,0.0021034439402080078,0.43720430107526875,0.003426229554948827
WW,SA generation,0.008099905510503018,0.0036029362571521817,0.6530000545433754,0.005550259565418498,0.5623655913978494,0.004782977352151966
Kunitz,Consensus+noise,0.003614720912028878,0.0008605719362142107,0.7216090733178103,0.004035882274035667,0.5508176100628931,0.003482521732658348
Kunitz,SA generation,0.012607126563084962,0.001787917370279589,0.5566703893315365,0.009047010118702814,0.6069182389937107,0.0043237367134879405
zf-C2H2,Consensus+noise,0.09531424805658346,0.002287271407092335,0.7421087617404776,0.0027977878660107257,0.49536231884057974,0.004241238898668353
zf-C2H2,SA generation,0.012527271739745285,0.027107746245921216,0.595733877286815,0.010141485728018502,0.557391304347826,0.0066883596390893574
PDZ,Consensus+noise,0.0208890637881198,0.007848783130835736,0.6326978088158141,0.004908108341157684,0.5215261044176708,0.005466427692455201
PDZ,SA generation,0.037509747185360716,0.009529220275517022,0.41763404636962304,0.009234208960738222,0.5425702811244979,0.005262899125497983
Pkinase,Consensus+noise,0.015039933046625651,0.000747656175320014,0.6304377333012454,0.004975323529901396,0.5277608142493639,0.00370286819624896
Pkinase,SA generation,0.03497144650185084,0.0010009909659811087,0.47755768207801846,0.011059092774669474,0.5151653944020356,0.003675498799856592
Defensin_beta,Consensus+noise,0.012603936279074815,0.002375753783409828,0.6314867610986025,0.004559138218989854,0.6201851851851853,0.006076958633509477
Defensin_beta,SA generation,0.022424154844041092,0.0029869543596191817,0.4015703979755713,0.013270312115576444,0.6548148148148147,0.00664178697937252
